,is_canceled,lead_time,Direct(bool),precancel(bool),prebook(bool),change_room(bool),reserve_change(bool),parkinglot(bool),special_request(bool),customer_type(label),Contract,Group,Transient,Transient-Party
0,0,6,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
1,1,88,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
2,1,65,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
3,1,92,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
4,1,100,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
5,1,79,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
6,0,3,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
7,1,63,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
8,1,62,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
9,1,62,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
10,0,43,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
11,0,43,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
12,0,43,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
13,0,4,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
14,1,43,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
15,0,43,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
16,1,43,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
17,0,43,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
18,0,43,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
19,1,43,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
20,1,43,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
21,1,97,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
22,0,43,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
23,0,43,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
24,1,80,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
25,0,60,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
26,1,106,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
27,1,68,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
28,1,92,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
29,0,18,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
30,1,71,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
31,1,85,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
32,1,92,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
33,1,75,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
34,1,92,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
35,1,89,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
36,1,100,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
37,1,83,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
38,1,72,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
39,1,111,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
40,1,86,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
41,1,73,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
42,1,92,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
43,1,55,0.0,0,0,0,0,0.0,1.0,3,0,0,0,1
44,0,69,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
45,1,76,0.0,0,0,0,0,0.0,1.0,3,0,0,0,1
46,1,76,0.0,0,0,0,0,0.0,1.0,3,0,0,0,1
47,1,79,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
48,1,61,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
49,1,55,0.0,0,0,0,0,0.0,1.0,3,0,0,0,1
50,1,63,1.0,0,0,0,0,0.0,1.0,3,0,0,0,1
51,1,63,1.0,0,0,0,0,0.0,1.0,3,0,0,0,1
52,1,77,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
53,0,54,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
54,1,90,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
55,1,90,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
56,1,117,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
57,0,6,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
58,1,105,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
59,0,51,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
60,1,97,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
61,0,72,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
62,1,72,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
63,1,61,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
64,1,63,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
65,1,24,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
66,1,89,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
67,0,92,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
68,1,84,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
69,1,65,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
70,1,85,1.0,0,0,0,0,0.0,0.0,2,0,0,1,0
71,1,115,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
72,0,67,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
73,1,87,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
74,1,87,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
75,0,71,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
76,0,3,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
77,0,71,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
78,0,3,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
79,1,109,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
80,0,96,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
81,0,96,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
82,1,65,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
83,1,114,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
84,0,96,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
85,1,96,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
86,0,3,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
87,0,61,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
88,0,96,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
89,0,96,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
90,0,3,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
91,1,96,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
92,1,96,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
93,0,96,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
94,1,96,0.0,0,0,0,0,0.0,0.0,3,0,0,0,1
