,is_canceled,lead_time,Direct(bool),precancel(bool),prebook(bool),change_room(bool),reserve_change(bool),parkinglot(bool),special_request(bool),customer_type(label),Contract,Group,Transient,Transient-Party
0,0,342,1.0,0,0,0,0,0.0,0.0,2,0,0,1,0
1,0,737,1.0,0,0,0,0,0.0,0.0,2,0,0,1,0
2,0,7,1.0,0,0,1,0,0.0,0.0,2,0,0,1,0
3,0,13,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
4,0,14,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
5,0,14,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
6,0,0,1.0,0,0,0,0,0.0,0.0,2,0,0,1,0
7,0,9,1.0,0,0,0,0,0.0,1.0,2,0,0,1,0
8,1,85,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
9,1,75,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
10,1,23,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
11,0,35,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
12,0,68,0.0,0,0,1,0,0.0,1.0,2,0,0,1,0
13,0,18,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
14,0,37,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
15,0,68,0.0,0,0,1,0,0.0,1.0,2,0,0,1,0
16,0,37,0.0,0,0,0,0,0.0,0.0,0,1,0,0,0
17,0,12,0.0,0,0,1,0,0.0,0.0,2,0,0,1,0
18,0,0,0.0,0,0,1,0,0.0,0.0,2,0,0,1,0
19,0,7,1.0,0,0,0,0,0.0,1.0,2,0,0,1,0
20,0,37,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
21,0,72,1.0,0,0,0,0,0.0,1.0,2,0,0,1,0
22,0,72,1.0,0,0,0,0,0.0,1.0,2,0,0,1,0
23,0,72,1.0,0,0,0,0,0.0,1.0,2,0,0,1,0
24,0,127,0.0,0,0,1,0,0.0,1.0,0,1,0,0,0
25,0,78,0.0,0,0,0,0,1.0,0.0,2,0,0,1,0
26,0,48,0.0,0,0,0,0,0.0,0.0,0,1,0,0,0
27,1,60,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
28,0,77,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
29,0,99,0.0,0,0,0,0,1.0,1.0,2,0,0,1,0
30,0,118,1.0,0,0,0,0,0.0,1.0,2,0,0,1,0
31,0,95,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
32,1,96,1.0,0,0,0,0,0.0,1.0,2,0,0,1,0
33,0,69,0.0,0,0,1,0,0.0,0.0,2,0,0,1,0
34,1,45,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
35,1,40,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
36,0,15,0.0,0,0,1,0,0.0,0.0,2,0,0,1,0
37,0,36,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
38,1,43,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
39,0,70,1.0,0,0,0,0,0.0,1.0,2,0,0,1,0
40,1,45,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
41,0,45,0.0,0,0,0,0,0.0,0.0,0,1,0,0,0
42,0,16,1.0,0,0,0,0,0.0,0.0,2,0,0,1,0
43,0,70,1.0,0,0,0,0,0.0,1.0,2,0,0,1,0
44,0,107,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
45,1,47,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
46,0,96,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
47,0,113,0.0,0,0,0,0,0.0,1.0,3,0,0,0,1
48,0,90,0.0,0,0,1,0,0.0,0.0,0,1,0,0,0
49,0,50,0.0,0,0,1,0,0.0,1.0,2,0,0,1,0
50,0,113,0.0,0,0,0,0,0.0,1.0,3,0,0,0,1
51,0,93,0.0,0,0,0,0,0.0,0.0,0,1,0,0,0
52,0,76,0.0,0,0,0,0,0.0,0.0,0,1,0,0,0
53,0,3,0.0,0,0,1,0,1.0,0.0,2,0,0,1,0
54,0,1,0.0,0,0,0,0,1.0,0.0,2,0,0,1,0
55,0,1,1.0,0,0,0,0,1.0,1.0,2,0,0,1,0
56,0,0,1.0,0,0,0,0,0.0,0.0,2,0,0,1,0
57,0,0,0.0,0,0,1,0,0.0,1.0,2,0,0,1,0
58,0,0,1.0,0,0,0,0,0.0,0.0,2,0,0,1,0
59,0,14,0.0,0,0,1,0,0.0,1.0,2,0,0,1,0
60,0,10,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
61,0,5,0.0,0,0,0,0,1.0,1.0,2,0,0,1,0
62,0,17,1.0,0,0,0,0,0.0,1.0,2,0,0,1,0
63,0,93,0.0,0,0,1,0,0.0,0.0,0,1,0,0,0
64,1,3,0.0,0,0,0,0,0.0,1.0,2,0,0,1,0
65,0,10,0.0,0,0,1,0,1.0,0.0,2,0,0,1,0
66,0,3,0.0,0,0,1,0,0.0,0.0,2,0,0,1,0
67,0,51,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0
